mid,ld,vrn,y,m,mo,ec,col,dd,tld,pav,rc,amfv,pn,ddob,ft,d,s,id
5761533029955,13/01/2017 23:20:18,FUL 9667,11/01/2020 14:14:34,Mini,Outback,2079,Indigo,Broken headlight,TotalLoss/Repair,38909247,43340411.0,92584,IWV739519WA,26/06/2017,PETROL/ELECTRIC,3,4 ,18/07/2022
7723967373357,30/01/2017 5:04:32,EDT 9341,09/02/2023 6:19:23,Jaguar,DB11,1930,Green,Tailgate dent,TotalLoss/Repair,56476571,70763882.1,12715,CHB963575EG,10/01/2018,PETROL/ELECTRIC,0,9,26/03/2022
3633837202136,11/01/2018 7:21:43,URD 6831,22/11/2018 23:32:50,McLaren,Cruze,3668,Gray,Dinged roof sill,TotalLoss,20060643,105633897,67541,ZOC660928XE,13/01/2015,PETROL/ELECTRIC,4,0,23/04/2022
7835842580538,25/07/2023 4:46:57,LFA 3723,11/08/2022 2:40:36,Lexus,Cooper,3753,Green,Chipped roof sill,TotalLoss,70316651,156422771,96155,ZOC995983WU,06/01/2021,ELECTRIC,4,0,31/12/2017
4809855022330,25/02/2019 10:58:09,NWB 8710,01/09/2023 3:07:17,Chevrolet,Mustang,3020,Tan,Roof rack scuffs,TotalLoss,66589353,521147420,97126,WZE853046VY,19/03/2020,DIESEL/ELECTRIC,6,4 ,22/01/2015
4354895790622,20/05/2017 17:00:02,JIR 3937,25/05/2020 8:03:18,Audi,RX,1080,Turquoise,Chipped bumper sill,Repair,53476776,50270777,20891,PRC329896QN,12/12/2018,PETROL,0,2,05/05/2016
9985658545941,07/04/2020 21:14:45,LQH 8542,05/06/2023 15:33:04,Infiniti,Golf,2982,Indigo,Tailgate dent,TotalLoss/Repair,21625317,24811784.7,2343,CHB809608UX,24/05/2015,PETROL/ELECTRIC,5,7,05/04/2015
5488580551713,19/02/2016 2:18:10,ZNR 2523,11/06/2020 15:33:26,Maserati,5 Series,2532,Orange,Broken side mirror glass,Repair,93592665,48774206,93337,CHB411444AC,09/10/2017,PETROL/LPG,0,5,05/11/2015
6615091758491,03/03/2023 12:06:20,FLV 2964,11/01/2021 0:13:08,Ford,Vantage,3558,Coral,Chipped paint,TotalLoss/Repair,96097659,112792729.7,51820,IWV373170FO,20/01/2021,ELECTRIC,3,6,01/02/2018
8761551088399,08/04/2016 16:21:11,RFD 7160,13/03/2017 0:00:37,Mazda,Explorer,1782,Pink,Roof dent,TotalLoss,7445679,36465643,2684,PRC408858GZ,13/06/2022,DIESEL,6,6,20/01/2023
2550067556460,26/09/2020 23:42:07,NMQ 3094,14/10/2019 5:51:10,Infiniti,Q3,3351,Orange,Roof rack chip,TotalLoss,81633662,337024827,72601,IWV531304NW,31/05/2020,ELECTRIC,5,3,13/07/2020
7380773521830,29/10/2015 22:18:59,WGW 3123,09/01/2021 6:28:11,Honda,Pacifica,1832,Ruby,Roof rack dent,Repair,29361740,6216178,45004,WZE773957EL,10/09/2017,DIESEL/MHEV,4,4 ,20/01/2023
8556692097639,19/01/2022 21:35:01,GVO 0864,26/12/2015 16:10:31,Volvo,Model S,2689,Plum,Tailgate dent,Repair,18037593,7247156,74420,CHB229408AK,06/06/2021,ELECTRIC,3,7,17/01/2022
2983550927860,22/07/2020 17:11:28,GTF 2465,20/05/2019 8:10:30,Toyota,Canyon,3645,Purple,Dinged roof sill,TotalLoss,67841897,662264308,31455,ZOC433968HE,11/06/2022,DIESEL,6,2,09/12/2017
6550599290351,20/05/2018 10:08:43,NNS 4969,26/05/2015 8:39:33,Bentley,CX-5,2121,White,Front bumper dent,TotalLoss,54861512,506464367,9167,CHB322357EP,20/07/2019,PETROL,5,8,05/05/2015
7197778623406,06/09/2019 21:21:54,LPT 3959,25/02/2021 4:58:23,Audi,Crosstrek,3191,Gold,Roof sill chip,TotalLoss,44739878,255759793,22099,ZOC256297DA,05/08/2021,DIESEL,5,3,21/09/2019
8538966554860,16/05/2016 13:03:33,AIE 9564,26/12/2020 2:19:37,Honda,A6,1751,Coral,Dented bumper sill,TotalLoss/Repair,56345210,73010493.1,35202,PRC178994PY,16/08/2021,PETROL,3,5,13/09/2020
6466218412174,08/01/2017 17:55:29,PYW 0438,11/05/2021 8:18:05,Ferrari,Q3,2188,Olive,Chipped roof sill,Repair,33301344,9068478,58891,WZE436656FQ,06/02/2022,DIESEL/MHEV,6,7,14/07/2023
1625494479455,25/05/2016 8:40:11,ZPK 7758,01/04/2015 4:10:12,Cadillac,Range Rover,3454,Blue,Roof sill dent,TotalLoss/Repair,81204369,92278757.0,664,IWV526104BI,01/09/2022,PETROL/ALCOHOL,3,0,02/08/2015
2649955412159,29/12/2015 23:37:12,WOH 2417,02/08/2022 2:13:09,Volvo,Mustang,1254,Turquoise,Bumper dent,Repair,40052024,29488417,12931,IWV727992VN,11/05/2020,PETROL/ALCOHOL,6,0,28/01/2018
8396865929790,12/07/2021 5:11:14,CVK 4283,19/09/2016 12:43:02,Cadillac,CX-9,4024,Magenta,Roof dent,TotalLoss,53021552,195518494,78213,PRC763649PH,14/05/2018,DIESEL,4,9,12/10/2016
6749021722051,19/08/2020 22:19:13,SKW 0991,04/05/2015 11:00:29,Ferrari,MDX,1636,Plum,Roof rack sill,TotalLoss/Repair,55010509,63274800.0,5058,WZE341449VS,17/04/2021,DIESEL,2,4 ,20/10/2017
9521738642745,23/03/2015 3:30:55,UXX 0340,04/08/2015 18:46:08,Volvo,Sportage,2440,Teal,Dented roof sill,TotalLoss,70049541,427050732,29809,PRC151213PK,06/02/2019,PETROL,3,2,24/03/2016
5671193975434,02/01/2015 12:43:24,POM 7224,05/03/2015 6:14:53,Mini,Renegade,1583,Teal,Bumper scrape,Repair,67259149,8712557,47091,IWV387165OL,15/09/2017,PETROL/ELECTRIC,3,4 ,27/09/2016
8946317038555,10/07/2017 5:37:55,ETF 7660,23/11/2016 7:49:29,Porsche,Impreza,3059,Ivory,Front bumper chip,TotalLoss/Repair,93206148,120202472.2,48102,PRC829522JA,15/03/2018,ELECTRIC,0,4 ,20/01/2019
3658361879108,01/05/2019 18:16:55,ZOC 5479,26/11/2021 2:04:50,Mitsubishi,Journey,2879,Turquoise,Bent roof rack sill,TotalLoss,12899630,64368620,98715,ZOC943028BW,20/06/2016,DIESEL/ELECTRIC,4,2,09/05/2023
5202551332145,10/09/2015 23:49:51,JEW 2854,06/08/2018 17:31:45,Mazda,Ascent,1171,Purple,Side mirror chip,TotalLoss/Repair,56256899,72832122.7,47942,PRC371772TB,09/05/2017,PETROL/ALCOHOL,4,6,31/10/2016
5323220877981,03/04/2021 13:11:57,XFE 0636,21/05/2019 18:45:03,Infiniti,A6,3169,Coral,Dented side door,Repair,74784627,36255553,85343,CHB684915KR,07/05/2016,PETROL,5,7,26/04/2022
7415623869963,07/05/2015 7:57:36,FMA 6522,26/09/2022 5:51:30,Kia,A4,3780,Blue,Tailgate dent,Repair,39262455,17876229,24529,IWV219602BS,27/12/2015,PETROL/ALCOHOL,3,9,25/02/2021
5074920893290,30/11/2021 17:53:53,UTH 6997,27/09/2015 10:11:50,Mini,S4,3701,Black,Dented side quarter panel,Repair,27616253,14116595,83216,ZOC410803KU,04/09/2023,DIESEL/ELECTRIC,2,3,03/05/2023
4646810184052,16/12/2016 1:38:59,EHB 6582,13/01/2023 22:41:39,Lamborghini,Encore,1698,Gold,Broken side window sill,TotalLoss,48161354,376910927,89771,ZOC116500SY,07/10/2016,DIESEL/ELECTRIC,3,5,14/05/2020
5935813201396,04/12/2019 17:16:07,AUY 8538,10/02/2015 16:58:48,Porsche,Golf,3782,Silver,Front bumper damage,TotalLoss/Repair,95521949,121705277.2,47188,PRC772630EC,24/03/2023,PETROL/ELECTRIC,6,8,28/05/2023
9818400493761,19/02/2021 3:35:17,SJL 3868,16/08/2020 9:35:12,Tesla,Range Rover,1431,Pink,Chipped door handle sill,TotalLoss,63323552,201025220,67581,IWV187767JU,14/08/2017,DIESEL/MHEV,4,3,11/09/2022
2135720478384,25/11/2018 14:56:47,QKP 6623,16/05/2016 17:19:27,Toyota,Pacifica,2416,Teal,Roof rack scrape,Repair,34585990,473118,32097,ZOC583180XF,09/11/2016,PETROL/ELECTRIC,2,3,12/03/2023
1753530840386,18/06/2017 10:09:53,CGK 2514,13/11/2021 13:07:56,Dodge,Challenger,4161,Pink,Scratched roof sill,Repair,22129366,11087215,20735,ZOC484034ZM,15/10/2021,PETROL/ALCOHOL,0,2,17/07/2016
3244787545155,28/05/2019 1:56:05,FSY 0931,14/11/2015 7:51:14,Maserati,Continental,1789,Ivory,Roof rack dent,TotalLoss/Repair,76577073,86113202.7,6099,CHB952959LJ,15/11/2018,PETROL,4,8,12/03/2018
1197877724559,06/04/2018 0:37:01,NOE 8473,13/12/2017 20:49:09,Aston Martin,911,1330,Slate,Fender bender damage,Repair,61050789,42255891,57554,ZOC383312AE,13/09/2023,PETROL/LPG,2,4 ,06/12/2018
8714292745129,28/03/2015 19:51:24,NIE 2513,14/04/2020 13:12:23,Tesla,Ghost,2337,Brown,Front bumper dent,TotalLoss,46932463,412682428,13768,IWV187689EU,06/08/2019,ELECTRIC,4,8,28/01/2017
5857033971685,07/07/2022 0:44:42,INA 7276,25/12/2020 20:38:05,Jeep,Kona,1916,Brown,Dented front door,TotalLoss,77343574,539834884,2950,CHB128858SB,12/09/2021,DIESEL/ELECTRIC,0,7,13/12/2020
5007563902577,11/05/2023 9:07:10,RZC 5340,11/07/2015 20:40:27,Chrysler,Malibu,1712,Ruby,Paint chips,Repair,25838338,16563832,70569,WZE461140ZW,31/07/2023,ELECTRIC,5,4 ,03/09/2016
6289181798572,06/06/2020 9:09:09,ZBR 1091,23/08/2021 16:04:06,Land Rover,Passat,3660,Purple,Roof sill chip,TotalLoss,39365258,264156452,23446,PRC533869FY,05/10/2019,DIESEL/MHEV,6,3,17/07/2019
7699195614832,11/03/2023 12:03:11,UII 0247,02/05/2023 2:00:59,Subaru,Passat,2483,Brown,Roof rack dent,TotalLoss,78115085,445841290,38217,IWV477217BY,06/10/2016,DIESEL/ELECTRIC,6,0,07/06/2019
8887232585178,13/04/2021 22:24:22,XSN 8491,24/04/2020 5:35:05,Audi,ILX,2421,Charcoal,Cracked side window,TotalLoss,21925408,175074771,43663,CHB104629PN,06/03/2016,PETROL,0,9,23/01/2015
6673459064009,26/10/2020 8:55:15,UGU 0644,12/07/2020 22:34:01,Fiat,RX,3530,Gray,Chipped roof rack sill,TotalLoss/Repair,65458791,83353282.3,6627,ZOC293887LD,10/04/2021,PETROL/ELECTRIC,6,3,15/04/2018
2138107679652,30/10/2021 2:56:25,ZXZ 9271,14/09/2016 23:07:58,Jeep,Explorer,4265,Yellow,Front bumper scrape,TotalLoss/Repair,9858125,11945799.6,16051,IWV376074WZ,25/10/2020,PETROL/LPG,4,2,30/03/2017
4738864048783,16/02/2019 11:24:10,OCG 6996,17/08/2020 4:23:02,Infiniti,Range Rover Sport,3500,Turquoise,Dented quarter sill,Repair,70665557,42516143,51697,WZE401076KA,10/07/2018,PETROL/LPG,2,7,19/12/2020
9377735985062,23/11/2017 9:27:39,NYV 6209,24/12/2017 21:21:26,Fiat,Renegade,1575,Tan,Roof rack chip,TotalLoss/Repair,76360465,94650103.5,21437,WZE871831NY,27/11/2020,PETROL/ALCOHOL,5,6,10/07/2021
3892581213730,12/06/2019 4:39:04,DMP 6554,20/04/2023 19:56:24,Mini,CX-9,2744,Olive,Roof sill dent,TotalLoss,66500040,171501470,35057,PRC743125AQ,09/09/2023,PETROL,3,6,09/06/2018
8018545950466,05/12/2022 23:03:02,RSL 3099,03/12/2017 2:36:05,Volkswagen,Cayenne,2626,Silver,Roof rack dent,TotalLoss,90607324,448411409,42991,CHB153451AJ,15/12/2018,DIESEL/MHEV,6,4 ,25/06/2020
1013158198396,19/01/2023 15:52:47,YUE 7469,07/03/2019 5:59:19,Hyundai,812 Superfast,3821,Coral,Dinged roof sill,TotalLoss/Repair,7344076,9233483.5,58817,PRC110812BT,30/01/2022,PETROL,2,9,10/11/2022
4766715297015,03/06/2022 15:55:45,ZQP 0858,18/03/2021 16:01:45,Bentley,Sonata,3554,Red,Chipped roof sill,Repair,27405491,10884854,5506,PRC731132CU,07/09/2021,DIESEL/ELECTRIC,5,5,09/01/2023
6759160185118,07/03/2018 9:06:55,LWZ 8385,27/07/2020 16:25:45,Mercedes-Benz,XT5,3128,Red,Broken side window sill,TotalLoss/Repair,99289829,109579385.2,47351,PRC846683AL,23/12/2021,PETROL/LPG,6,0,04/09/2022
9262771123795,29/03/2022 21:52:03,JAP 4668,02/05/2020 6:15:46,Dodge,CX-9,3009,Salmon,Roof dent,Repair,66965548,37785309,19056,WZE831878BN,19/05/2016,DIESEL/ELECTRIC,2,8,06/10/2017
2228795760953,07/09/2023 18:07:46,ENQ 2271,30/03/2015 18:11:33,Nissan,4 Series,2165,Orange,Roof rack scuffs,Repair,96226838,77783348,31823,IWV644369JI,25/09/2015,PETROL/LPG,0,5,26/03/2016
5065073990240,30/07/2016 6:24:11,ZLQ 6628,18/01/2015 6:05:01,Toyota,Ascent,3889,Brown,Tailgate dent,TotalLoss,7991393,49442285,36879,ZOC595986GT,13/02/2015,ELECTRIC,3,6,18/06/2015
5476255464290,22/03/2023 13:40:01,EEL 7431,02/07/2019 18:22:58,Tesla,Yukon,3146,Tan,Side mirror scrape,TotalLoss/Repair,39449240,51187937.5,16584,PRC158628VB,27/08/2022,DIESEL,5,6,04/09/2023
4506751113983,29/12/2016 6:14:47,PZW 5735,23/09/2015 9:11:15,Jeep,Crosstrek,4130,Black,Keyed roof rack,Repair,42174721,19140030,58465,WZE863232BN,27/05/2016,PETROL,6,3,18/05/2022
3443947616056,21/02/2015 10:36:51,SWH 5210,21/10/2015 2:24:35,Infiniti,Renegade,2920,Red,Roof sill chip,TotalLoss/Repair,74424138,94291296.9,58328,ZOC474926EE,30/09/2017,ELECTRIC,6,9,05/09/2015
8290502915544,14/08/2023 4:14:19,CUL 0160,18/04/2022 21:00:59,Bugatti,Canyon,1699,Purple,Chipped roof rack sill,TotalLoss/Repair,58279862,74462917.8,14435,PRC361558NX,31/10/2020,PETROL/ELECTRIC,6,9,23/06/2022
9362002393462,22/11/2018 6:15:54,BBI 0394,28/12/2019 17:32:38,Rolls-Royce,Golf,1960,Olive,Roof rack scrape,Repair,75444852,17193732,30832,WZE142201DG,28/08/2015,PETROL/ALCOHOL,5,4 ,13/12/2015
7695760455761,19/02/2022 3:42:26,UEI 2806,10/07/2018 12:44:43,Chevrolet,Escape,1080,Pink,Tire puncture,TotalLoss,73955421,211168463,68687,WZE378209CN,22/07/2016,DIESEL/ELECTRIC,2,8,11/08/2016
5457778084052,05/12/2021 16:11:21,PYC 7213,16/01/2016 14:59:57,Audi,Kona,1713,Coral,Roof sill chip,TotalLoss/Repair,63028207,74586943.7,77875,IWV206799NX,13/05/2020,PETROL/ALCOHOL,3,2,14/04/2018
3886711683698,28/10/2020 14:00:48,GPE 4482,23/11/2020 7:30:27,Nissan,Huracan,2950,Beige,Scratched trunk lid,TotalLoss/Repair,27372987,33240216.3,58335,PRC795914PQ,03/08/2022,PETROL/LPG,5,7,04/09/2016
3325066128989,28/10/2017 17:06:13,FWM 8159,18/11/2022 8:55:00,Lexus,Ascent,2871,Charcoal,Side mirror scuffs,Repair,71862926,61966839,28802,ZOC323621BU,29/09/2020,PETROL/ELECTRIC,5,3,02/11/2018
1317698153208,10/04/2020 6:12:24,HKS 7175,24/11/2015 10:59:23,Cadillac,Vantage,3810,Teal,Roof dent,Repair,39202424,19711552,81529,CHB456908BV,21/10/2022,PETROL/LPG,0,6,04/05/2017
2137868688203,29/02/2020 21:12:54,XLU 5384,24/06/2016 21:44:32,Audi,Range Rover,3204,Maroon,Paint scuffs,TotalLoss,38667634,366827271,57285,WZE450090VV,04/09/2021,PETROL,4,0,09/01/2022
9611175396621,17/06/2022 1:54:53,ECZ 0585,31/10/2016 21:18:21,Aston Martin,C-Class,3604,Olive,Roof rack scrape,Repair,34249875,8001743,74424,ZOC166040XR,25/11/2018,PETROL/ELECTRIC,6,5,19/10/2016
4648341557849,19/04/2018 6:09:03,LEN 0049,29/07/2018 18:19:31,Subaru,Maxima,1733,Blue,Front bumper dent,Repair,52527605,51295522,52088,CHB106935GL,17/03/2016,PETROL/ALCOHOL,3,0,28/05/2017
7927135378866,14/01/2020 9:54:40,RLJ 8186,08/06/2020 12:40:38,Toyota,Range Rover,3208,Gray,Roof sill dent,Repair,82337572,54853504,99262,CHB501029UJ,08/04/2022,DIESEL/ELECTRIC,2,9,29/11/2017
3283602098944,26/07/2018 8:17:10,PFE 0787,30/10/2019 17:08:07,Infiniti,Vantage,2255,Orange,Bent roof sill,Repair,44902785,9635764,3733,ZOC862666OI,02/04/2016,PETROL/LPG,0,2,22/12/2022
8453562896196,12/02/2016 7:40:50,QEV 3891,21/07/2018 6:53:04,Ford,Crosstrek,924,Teal,Scratched door handle,TotalLoss/Repair,44008657,52849123.0,50820,CHB795142PK,25/03/2021,PETROL/ELECTRIC,5,4 ,16/12/2020
9272056434041,16/01/2015 3:29:08,VEO 0756,28/04/2019 5:49:13,Jeep,720S,1612,Plum,Hood dent,TotalLoss,91148169,846650298,75359,PRC440306DD,16/04/2020,DIESEL,6,5,29/10/2018
1548598624455,31/10/2017 15:20:33,BHV 4985,07/01/2023 13:20:48,Porsche,Canyon,1260,Silver,Roof rack dent,Repair,91598150,43683872,47282,CHB871130QB,24/06/2023,PETROL/LPG,4,7,14/10/2019
6207333917631,20/03/2017 3:56:43,TBD 9511,06/06/2021 1:20:17,Acura,Explorer,2303,Salmon,Roof rack scuffs,Repair,53058827,24384424,90516,IWV476330FJ,30/03/2022,PETROL,4,3,02/03/2023
2677239218380,02/06/2022 6:46:17,YUM 1372,22/07/2022 7:57:26,Mercedes-Benz,MDX,895,Blue,Roof sill chip,Repair,21102307,6003369,78120,WZE770104HZ,08/12/2015,PETROL,6,2,28/05/2021
9080259560078,23/09/2019 6:21:24,RLN 9463,05/08/2017 21:42:41,BMW,ILX,2732,Olive,Tailgate chip,Repair,42832445,12393777,57149,WZE271025BD,02/05/2016,DIESEL/ELECTRIC,4,7,18/03/2018
1906301038514,23/05/2017 0:14:48,LOD 4063,30/10/2020 19:20:22,Tesla,Mustang,3335,Plum,Front bumper ding,Repair,97209411,93366398,89145,PRC862332ZT,31/01/2016,DIESEL,0,7,08/02/2018
1055968904585,19/09/2018 8:41:10,OVB 8148,27/12/2017 2:01:41,Maserati,C-Class,2237,Green,Roof dent,Repair,77890995,67508624,45395,WZE402016ID,09/03/2017,ELECTRIC,6,9,29/04/2022
5571423481705,05/04/2018 14:58:40,SML 1362,09/09/2016 0:49:16,Lexus,CX-30,4469,Charcoal,Roof rack scuffs,TotalLoss/Repair,55711013,64500891.1,26946,CHB454662TT,07/08/2015,PETROL,4,6,19/08/2018
7640176878650,08/05/2019 16:10:23,HDZ 6505,29/11/2015 23:27:22,Mazda,S4,2792,Blue,Rear bumper dent,Repair,36591537,8786888,43827,ZOC152627XG,11/07/2021,PETROL/ELECTRIC,0,9,29/04/2017
5388826448379,14/11/2022 16:19:19,BJS 8104,13/02/2022 23:51:06,Ram,CX-30,2348,Brown,Roof rack chip,TotalLoss/Repair,88244053,104759549.6,51329,PRC534919BT,16/04/2022,DIESEL,3,9,24/09/2017
3182333673771,05/02/2021 7:18:36,KDC 3741,12/04/2019 21:32:57,Porsche,Rav4,1510,Tan,Broken quarter sill,TotalLoss,1842042,16356233,12880,WZE707297MY,04/04/2019,PETROL/ELECTRIC,3,3,20/07/2018
5478429208616,30/04/2015 10:37:39,TYL 8654,03/09/2018 1:13:43,Porsche,570S,1429,Salmon,Rear bumper dent,Repair,59093314,53922096,5978,ZOC386469TP,11/01/2018,DIESEL/MHEV,6,8,03/05/2016
9955146113901,02/08/2023 23:00:48,ZPJ 1210,12/10/2021 20:43:48,GMC,Malibu,2690,Cyan,Dinged roof sill,TotalLoss/Repair,10880533,14036991.2,1186,WZE115660NF,02/07/2017,DIESEL/ELECTRIC,4,3,12/06/2021
8267204213106,08/09/2017 20:46:48,UEY 6591,20/04/2023 9:52:07,Fiat,Escape,2315,Beige,Tailgate chip,Repair,94660270,18805194,56863,IWV691999DF,06/03/2016,DIESEL,4,9,20/01/2020
5541643353553,13/08/2016 9:18:20,SZU 9243,12/11/2015 17:54:58,BMW,Stelvio,3680,Turquoise,Roof dent,Repair,54021817,4845585,27660,IWV968500WT,18/03/2022,ELECTRIC,0,4 ,10/06/2018
1629373738362,07/07/2022 19:45:14,IKH 3409,08/02/2016 15:42:57,BMW,CX-9,4185,Orange,Chipped bumper scrape,Repair,90144972,64008099,12862,ZOC464751ZU,12/04/2021,PETROL/ALCOHOL,2,9,14/04/2016
7812595101913,13/02/2020 8:28:07,VXU 5921,28/06/2023 11:50:28,Lamborghini,812 Superfast,1894,Gold,Roof rack dent,TotalLoss/Repair,93296244,102680265.8,85466,CHB766993VD,12/09/2020,PETROL/ALCOHOL,6,6,02/06/2019
2227480988416,07/05/2019 16:48:15,CEK 9424,14/09/2016 13:21:47,GMC,488 GTB,1710,Black,Roof dent,Repair,29071999,14784120,26984,IWV283250PL,12/02/2018,DIESEL,4,3,26/11/2021
1510512077112,29/05/2020 21:01:39,LYU 9139,09/08/2020 21:36:22,GMC,Murano,1256,Ruby,Roof rack sill,TotalLoss/Repair,11990393,13979004.8,46892,PRC646907HW,20/11/2019,DIESEL,4,0,09/12/2021
9576856618489,14/10/2022 17:41:44,BED 0227,11/05/2020 7:15:16,Audi,Ghibli,1589,White,Rear fender damage,Repair,80345577,65830532,34994,PRC108925SH,30/06/2017,PETROL/ALCOHOL,4,4 ,02/09/2016
2104385661957,30/09/2017 7:58:52,IRX 8837,06/04/2016 0:51:48,GMC,812 Superfast,2290,Purple,Chipped roof sill,TotalLoss,42524306,298442545,49884,WZE564862DK,24/11/2019,DIESEL/MHEV,6,5,10/10/2020
6989982974337,05/10/2017 6:32:10,HGQ 0794,23/07/2019 10:21:50,Jeep,Sportage,4355,Ivory,Broken roof sill,TotalLoss/Repair,13194307,16811186.0,63222,WZE119382ZL,19/09/2017,DIESEL/ELECTRIC,3,4 ,18/03/2020
5263076755362,28/08/2019 23:59:19,TVZ 1942,29/11/2016 0:59:48,Cadillac,Maxima,2395,Yellow,Cracked side window,Repair,55562334,11332819,43241,IWV635646UO,17/05/2023,ELECTRIC,6,0,24/01/2021
2643075853372,04/12/2016 23:46:36,HZM 0764,03/10/2022 11:41:21,Tesla,Explorer,3099,Pink,Chipped roof rack sill,Repair,89604847,44788060,57619,WZE575876UV,09/09/2016,PETROL,4,3,23/08/2020
9213116821532,14/02/2016 3:41:42,WTO 4966,15/09/2015 10:31:32,Honda,Encore,1594,Charcoal,Roof dent,TotalLoss,64180007,166887129,63313,IWV700188NL,27/11/2022,DIESEL/ELECTRIC,0,5,03/07/2015
1568561417434,16/04/2016 23:12:14,UCD 8219,18/08/2018 11:27:25,Volvo,Model X,2367,Olive,Dinged quarter panel,TotalLoss/Repair,98559085,119557626.3,48494,IWV881650LQ,17/01/2022,DIESEL,3,8,15/12/2022
9717014903381,14/12/2020 17:57:50,BLD 9818,13/10/2022 13:22:30,Fiat,Flying Spur,2372,Indigo,Rear bumper scratch,TotalLoss,17164297,122286540,54196,IWV338324XI,08/04/2015,PETROL,2,5,29/05/2019
1099350873792,14/01/2015 15:37:30,MCG 5239,29/10/2022 0:11:02,Nissan,570S,2951,Turquoise,Tailgate chip,Repair,26327560,10432527,92241,IWV352970HO,20/04/2015,DIESEL/ELECTRIC,4,2,21/02/2021
3750996672419,22/02/2022 21:14:52,SIL 0643,28/12/2022 6:26:20,Volkswagen,Legacy,1652,Maroon,Dented roof sill,TotalLoss,4168200,35020557,62656,ZOC444640JO,09/02/2017,PETROL/ALCOHOL,4,2,22/11/2021
2121418318949,02/04/2015 17:16:08,YOE 8210,10/12/2021 3:49:35,Maserati,Impreza,2317,Coral,Roof dent,Repair,58307970,38041938,63373,ZOC505411TU,22/04/2020,PETROL/ELECTRIC,0,7,15/02/2016
1124442379981,28/03/2022 21:14:34,PQY 0875,17/11/2015 3:15:24,GMC,CLA,1037,Black,Bent quarter sill,Repair,17725093,12157285,19343,CHB779534UZ,28/02/2015,PETROL/ALCOHOL,0,2,20/09/2022
9612372505817,13/01/2021 1:08:43,DNZ 0906,05/12/2018 0:13:40,Mini,CLA,1476,Gold,Tailgate dent,TotalLoss/Repair,84455915,108272324.2,42880,PRC979591BZ,14/11/2017,DIESEL/ELECTRIC,2,2,25/04/2017
2036978861519,28/04/2018 21:56:45,NWU 7475,13/03/2021 7:33:07,Jeep,Optima,3430,White,Scratched rear sill,TotalLoss/Repair,54306825,69620119.9,7748,ZOC478168GC,28/02/2015,DIESEL/MHEV,3,0,07/06/2016
